case_number,recall_reason,establishment,states,date
PHA-032412-01,Product Contamination,NA,Washington,"Sat, 03/24/2012 - Current"
017-2012,Product Contamination,NA,"Arizona, Colorado, Texas, Washington","Sat, 03/24/2012 - Mon, 05/27/2013"
016-2012,Product Contamination,Southside Market & Barbeque,"California, Florida, Illinois, Louisiana, Texas","Wed, 03/21/2012 - Mon, 05/27/2013"
014-2012,"Misbranding, Unreported Allergens","NA, NA","California, California","Sat, 03/17/2012 - Mon, 05/27/2013, Sat, 03/17/2012 - Mon, 05/27/2013"
015-2012,Import Violation,Lawson Foods Inc.,New Jersey,"Mon, 03/12/2012 - Mon, 05/27/2013"
015-2010,Product Contamination,Nestle Professional,NA,"Thu, 03/08/2012 - Sun, 06/03/2012"
013-2012,"Misbranding, Unreported Allergens","NA, NA","NA, NA","Tue, 03/06/2012 - Mon, 05/27/2013, Tue, 03/06/2012 - Mon, 05/27/2013"
012-2012,Produced Without Benefit of Inspection,"Pasou Foods, Inc.",Indiana,"Fri, 03/02/2012 - Mon, 05/27/2013"
011-2012,Unreported Allergens,London Manhattan Corp.,New York,"Mon, 02/27/2012 - Mon, 05/27/2013"
010-2012,Produced Without Benefit of Inspection,NA,NA,"Thu, 02/16/2012 - Mon, 05/27/2013"
009-2012,Produced Without Benefit of Inspection,NA,California,"Wed, 02/15/2012 - Mon, 05/27/2013"
008-2012,"Misbranding, Unreported Allergens","Han Yang Inc, Han Yang Inc","California, Illinois, California, Illinois","Fri, 02/10/2012 - Mon, 05/27/2013, Fri, 02/10/2012 - Mon, 05/27/2013"
007-2012,Product Contamination,NA,North Carolina,"Tue, 02/07/2012 - Mon, 05/27/2013"
005-2012,Product Contamination,"GHSW, LLC",Texas,"Fri, 02/03/2012 - Mon, 05/27/2013"
006-2012,Product Contamination,"F&S Produce Co., Inc.",New Jersey,"Fri, 02/03/2012 - Mon, 05/27/2013"
002-2012,"Misbranding, Unreported Allergens","J&B Wholesale Distributing Inc., J&B Wholesale Distributing Inc.","North Dakota, Texas, North Dakota, Texas","Fri, 01/27/2012 - Sat, 05/18/2013, Fri, 01/27/2012 - Sat, 05/18/2013"
003-2012,Product Contamination,NA,NA,"Fri, 01/27/2012 - Sat, 05/18/2013"
001-2012,Product Contamination,NA,"South Carolina, Tennessee, Washington","Sat, 01/14/2012 - Sat, 05/18/2013"
004-2012,Product Contamination,NA,"Illinois, Indiana, Kentucky, Ohio, Tennessee","Mon, 01/02/2012 - Sat, 05/18/2013"
102-2011,"Misbranding, Unreported Allergens","NA, NA","Arizona, Arizona","Fri, 12/30/2011 - Current, Fri, 12/30/2011 - Current"
101-2011,Product Contamination,"Tyson Fresh Meats, Inc.","Alabama, California, Florida, Georgia, Illinois, Indiana, Kentucky, Louisiana, Mississippi, New York, North Carolina, Ohio, South Carolina, Tennessee, West Virginia, Wisconsin","Fri, 12/16/2011 - Sun, 06/03/2012"
099-2011,"Misbranding, Unreported Allergens","NA, NA","Delaware, Florida, Georgia, Maryland, North Carolina, South Carolina, Tennessee, Virginia, District of Columbia, Delaware, Florida, Georgia, Maryland, North Carolina, South Carolina, Tennessee, Virginia, District of Columbia","Thu, 12/15/2011 - Sun, 06/03/2012, Thu, 12/15/2011 - Sun, 06/03/2012"
100-2011,Product Contamination,NA,Maine,"Thu, 12/15/2011 - Sun, 06/03/2012"
098-2011,"Misbranding, Unreported Allergens","Silva Sausage Co., Silva Sausage Co.","California, California","Sat, 12/10/2011 - Sun, 06/03/2012, Sat, 12/10/2011 - Sun, 06/03/2012"
097-2011,Product Contamination,NA,Florida,"Fri, 12/09/2011 - Sun, 06/03/2012"
096-2011,Produced Without Benefit of Inspection,NA,"California, Illinois, Indiana, Ohio, Oregon, Texas, Utah","Thu, 12/08/2011 - Sun, 06/03/2012"
095-2011,"Misbranding, Unreported Allergens","NA, NA","California, California","Fri, 12/02/2011 - Sun, 06/03/2012, Fri, 12/02/2011 - Sun, 06/03/2012"
094-2011,"Misbranding, Unreported Allergens","Papa Cantella's Inc, Papa Cantella's Inc","California, California","Tue, 11/29/2011 - Sun, 06/03/2012, Tue, 11/29/2011 - Sun, 06/03/2012"
093-2011,"Misbranding, Unreported Allergens","Silva Sausage Co., Silva Sausage Co.","California, California","Mon, 11/28/2011 - Current, Mon, 11/28/2011 - Current"
092-2011,"Misbranding, Unreported Allergens","Berk Lombardo Packing Co.. Inc., Berk Lombardo Packing Co.. Inc.","NA, NA","Wed, 11/23/2011 - Current, Wed, 11/23/2011 - Current"
091-2011,Misbranding,M&P Production LTD,Pennsylvania,"Mon, 11/14/2011 - Sun, 06/03/2012"
090-2011,Product Contamination,Schreiber Processing Corporation,Maryland,"Tue, 11/08/2011 - Sun, 06/03/2012"
089-2011,Product Contamination,Bulk Inc,Texas,"Mon, 11/07/2011 - Sun, 06/03/2012"
088-2011,Product Contamination,NA,NA,"Mon, 10/31/2011 - Sun, 06/03/2012"
087-2011,Misbranding,Original Fried Pies,"Arkansas, Colorado, Mississippi, Missouri, Oklahoma, Texas","Thu, 10/27/2011 - Sun, 06/03/2012"
086-2011,Produced Without Benefit of Inspection,NA,California,"Wed, 10/26/2011 - Sun, 06/03/2012"
085-2011,"Misbranding, Unreported Allergens","NA, NA","Louisiana, Texas, Louisiana, Texas","Tue, 10/25/2011 - Sun, 06/03/2012, Tue, 10/25/2011 - Sun, 06/03/2012"
084-2011,"Misbranding, Unreported Allergens","KTF Protein Solutions Inc., KTF Protein Solutions Inc.","Ohio, Ohio","Thu, 10/20/2011 - Sun, 06/03/2012, Thu, 10/20/2011 - Sun, 06/03/2012"
083-2011,Produced Without Benefit of Inspection,NA,Illinois,"Fri, 10/14/2011 - Sun, 06/03/2012"
082-2011,Misbranding,NA,NA,"Thu, 10/13/2011 - Sun, 06/03/2012"
081-2011,"Misbranding, Unreported Allergens","NA, NA","Arizona, California, Maryland, Ohio, Texas, Arizona, California, Maryland, Ohio, Texas","Wed, 10/12/2011 - Sun, 06/03/2012, Wed, 10/12/2011 - Sun, 06/03/2012"
080-2011,Product Contamination,"Commercial Meat Company, Inc.","California, Nevada","Tue, 10/11/2011 - Sun, 06/03/2012"
079-2011,Product Contamination,NA,"Illinois, Indiana, Kentucky, Ohio, Tennessee","Sat, 10/01/2011 - Sun, 06/03/2012"
078-2011,Product Contamination,NA,Arizona,"Fri, 09/30/2011 - Sun, 06/03/2012"
077-2011,Product Contamination,"Tyson Fresh Meats, Inc.",NA,"Tue, 09/27/2011 - Sun, 06/03/2012"
76-2011,Product Contamination,K. Heeps Inc,"California, Florida, Illinois, Kentucky, Maryland, Missouri, New Jersey, Ohio, Pennsylvania, Texas, Utah, Virginia","Mon, 09/26/2011 - Sun, 06/03/2012"
075-2011,Product Contamination,NA,NA,"Fri, 09/23/2011 - Sun, 06/03/2012"
074-2011,"Misbranding, Unreported Allergens","Mattern Sausage, Mattern Sausage","Oregon, California, Oregon, California","Thu, 09/22/2011 - Sun, 06/03/2012, Thu, 09/22/2011 - Sun, 06/03/2012"
073-2011,Processing Defect,"Roundy's Supermarkets, Inc.",Illinois,"Wed, 09/21/2011 - Sun, 06/03/2012"
072-2011,Unreported Allergens,M&P Production LTD,Massachusetts,"Tue, 09/20/2011 - Sun, 06/03/2012"
071-2011,Product Contamination,Cargill Meat Solutions,NA,"Sun, 09/11/2011 - Sun, 06/03/2012"
070-2011-EXP,"Misbranding, Unreported Allergens","NA, NA","Hawaii, Hawaii","Tue, 08/30/2011 - Sun, 06/03/2012, Tue, 08/30/2011 - Sun, 06/03/2012"
067-2011,Unreported Allergens,Silva Sausage Co.,California,"Fri, 08/26/2011 - Sun, 06/03/2012"
068-2011,"Misbranding, Unreported Allergens","NA, NA","Oregon, Oregon","Fri, 08/26/2011 - Sun, 06/03/2012, Fri, 08/26/2011 - Sun, 06/03/2012"
069-2011,"Misbranding, Unreported Allergens","NA, NA","Alaska, Alaska","Fri, 08/26/2011 - Sun, 06/03/2012, Fri, 08/26/2011 - Sun, 06/03/2012"
070-2011,"Misbranding, Unreported Allergens","NA, NA","Hawaii, Hawaii","Fri, 08/26/2011 - Sun, 06/03/2012, Fri, 08/26/2011 - Sun, 06/03/2012"
066-2011,Product Contamination,NA,"North Carolina, South Carolina, Virginia","Fri, 08/19/2011 - Sun, 06/03/2012"
065-2011,"Misbranding, Unreported Allergens","NA, NA","Wisconsin, Wisconsin","Mon, 08/15/2011 - Sun, 06/03/2012, Mon, 08/15/2011 - Sun, 06/03/2012"
063-2011,Product Contamination,NA,NA,"Fri, 08/12/2011 - Sat, 06/02/2012"
064-2011,Product Contamination,"National Beef Packing Co., L.L.C.",NA,"Fri, 08/12/2011 - Sat, 06/02/2012"
062-2011-EXP,Product Contamination,McNees Meats and Wholesale LLC,Michigan,"Thu, 08/11/2011 - Sat, 06/02/2012"
062-2011,Product Contamination,McNees Meats and Wholesale LLC,Michigan,"Tue, 08/09/2011 - Sat, 06/02/2012"
061-2011,Product Contamination,NA,Texas,"Fri, 08/05/2011 - Sat, 06/02/2012"
060-2011,Product Contamination,Cargill Meat Solutions,NA,"Wed, 08/03/2011 - Sat, 06/02/2012"
058-2011,"Misbranding, Unreported Allergens","Curly's Custom Meats, Curly's Custom Meats","Ohio, Ohio","Fri, 07/29/2011 - Sat, 06/02/2012, Fri, 07/29/2011 - Sat, 06/02/2012"
PHA-072911-01,Product Contamination,NA,NA,"Fri, 07/29/2011 - Current"
059-2011,Produced Without Benefit of Inspection,NA,NA,"Thu, 07/28/2011 - Sat, 06/02/2012"
056-2011,Product Contamination,NA,"Illinois, Ohio, Iowa, Virginia","Wed, 07/27/2011 - Sat, 06/02/2012"
057-2011,Product Contamination,NA,NA,"Wed, 07/27/2011 - Sat, 06/02/2012"
050-2011-EXP,Product Contamination,Flying Food Group,Georgia,"Tue, 07/26/2011 - Sat, 06/02/2012"
052-2011-EXP,Product Contamination,Pilgrim's Pride Corporation,"Alabama, Florida, Georgia, Indiana, Kentucky, Ohio, Tennessee, Virginia, West Virginia","Tue, 07/26/2011 - Sat, 06/02/2012"
053-2011,"Misbranding, Unreported Allergens","Yants Snack Foods LLC, Yants Snack Foods LLC","Ohio, Indiana, Ohio, Indiana","Fri, 07/22/2011 - Sat, 06/02/2012, Fri, 07/22/2011 - Sat, 06/02/2012"
054-2011,Produced Without Benefit of Inspection,"Bobby Salazar's Food Products, Inc.",California,"Fri, 07/22/2011 - Sat, 06/02/2012"
055-2011,Product Contamination,NA,"Florida, Illinois, Indiana, Michigan, Ohio","Fri, 07/22/2011 - Sat, 06/02/2012"
051-2011,"Misbranding, Unreported Allergens","NA, NA","Indiana, Missouri, Ohio, Indiana, Missouri, Ohio","Wed, 07/20/2011 - Sat, 06/02/2012, Wed, 07/20/2011 - Sat, 06/02/2012"
052-2011,Product Contamination,Pilgrim's Pride Corporation,"New Jersey, Texas","Wed, 07/20/2011 - Sat, 06/02/2012"
050-2011,Product Contamination,Flying Food Group,"Georgia, Alabama","Tue, 07/19/2011 - Sat, 06/02/2012"
048-2011,Product Contamination,NA,"Illinois, Connecticut, Massachusetts, New York, Pennsylvania","Thu, 07/14/2011 - Sat, 06/02/2012"
049-2011,Product Contamination,NA,California,"Thu, 07/14/2011 - Sat, 06/02/2012"
047-2011,Product Contamination,"Warabeya U.S.A., Inc.",Hawaii,"Wed, 07/06/2011 - Sat, 06/02/2012"
046-2011,Product Contamination,NA,NA,"Tue, 07/05/2011 - Sat, 06/02/2012"
044-2011,"Misbranding, Unreported Allergens","Twin Marquis, Inc., Twin Marquis, Inc.","New York, New York","Wed, 06/22/2011 - Sat, 06/02/2012, Wed, 06/22/2011 - Sat, 06/02/2012"
045-2011,Product Contamination,NA,NA,"Wed, 06/22/2011 - Sat, 06/02/2012"
043-2011,Product Contamination,NA,NA,"Tue, 06/21/2011 - Sat, 06/02/2012"
042-2011,"Unreported Allergens, Mislabeling","Big B Distributors, Big B Distributors","Kentucky, Kentucky","Wed, 06/15/2011 - Sat, 06/02/2012, Wed, 06/15/2011 - Sat, 06/02/2012"
041-2011,"Misbranding, Unreported Allergens","Kim Son Food Co., Kim Son Food Co.","Pennsylvania, Virginia, Texas, Washington, Pennsylvania, Virginia, Texas, Washington","Fri, 06/10/2011 - Sat, 06/02/2012, Fri, 06/10/2011 - Sat, 06/02/2012"
040-2011,"Misbranding, Mislabeling","NA, NA","Illinois, Kansas, Louisiana, Missouri, Nebraska, North Carolina, Pennsylvania, Texas, Virginia, Illinois, Kansas, Louisiana, Missouri, Nebraska, North Carolina, Pennsylvania, Texas, Virginia","Thu, 06/02/2011 - Sat, 06/02/2012, Thu, 06/02/2011 - Sat, 06/02/2012"
039-2011,Product Contamination,NA,NA,"Tue, 05/31/2011 - Sat, 06/02/2012"
038-2011,"Unreported Allergens, Mislabeling","Fresh & Ready Foods LLC, Fresh & Ready Foods LLC","NA, NA","Fri, 05/27/2011 - Sat, 06/02/2012, Fri, 05/27/2011 - Sat, 06/02/2012"
R01-2011,Product Contamination,NA,NA,"Wed, 05/25/2011 - Sat, 06/02/2012"
037-2011,Product Contamination,NA,"Arizona, California, Nevada, Oregon, Washington","Fri, 05/13/2011 - Sat, 06/02/2012"
036-2011,Mislabeling,Troll Smokehouse,Michigan,"Wed, 05/11/2011 - Sat, 06/02/2012"
034-2011,"Unreported Allergens, Mislabeling","Butterfield Foods, LLC, Butterfield Foods, LLC","Indiana, Indiana","Fri, 05/06/2011 - Sat, 06/02/2012, Fri, 05/06/2011 - Sat, 06/02/2012"
035-2011,"Unreported Allergens, Mislabeling","NA, NA","Georgia, Indiana, Kentucky, Ohio, Tennessee, Georgia, Indiana, Kentucky, Ohio, Tennessee","Fri, 05/06/2011 - Sat, 06/02/2012, Fri, 05/06/2011 - Sat, 06/02/2012"
032-2011,"Unreported Allergens, Mislabeling","Smithfield Fresh Meats Corp., Smithfield Fresh Meats Corp.","Alabama, Florida, Illinois, Kentucky, Maryland, Massachusetts, Mississippi, North Carolina, New Jersey, New York, Pennsylvania, South Carolina, Tennessee, Texas, Virginia, Alabama, Florida, Illinois, Kentucky, Maryland, Massachusetts, Mississippi, North Carolina, New Jersey, New York, Pennsylvania, South Carolina, Tennessee, Texas, Virginia","Wed, 05/04/2011 - Sat, 06/02/2012, Wed, 05/04/2011 - Sat, 06/02/2012"
033-2011,Product Contamination,Taylor Farm - Pacific,NA,"Wed, 05/04/2011 - Sat, 06/02/2012"
031-2011,"Unreported Allergens, Mislabeling","NA, NA","NA, NA","Sat, 04/30/2011 - Sat, 06/02/2012, Sat, 04/30/2011 - Sat, 06/02/2012"
030-2011,"Unreported Allergens, Mislabeling","Oberto Snacks Inc., Oberto Snacks Inc.","Iowa, Minnesota, North Dakota, Wisconsin, Iowa, Minnesota, North Dakota, Wisconsin","Fri, 04/29/2011 - Sat, 06/02/2012, Fri, 04/29/2011 - Sat, 06/02/2012"
029-2011,"Unreported Allergens, Mislabeling","Troll Smokehouse, Troll Smokehouse","Michigan, Michigan","Wed, 04/27/2011 - Sat, 06/02/2012, Wed, 04/27/2011 - Sat, 06/02/2012"
028-2011,Product Contamination,Jennie-O Turkey Store,Wisconsin,"Fri, 04/01/2011 - Sat, 06/02/2012"
027-2011,"Unreported Allergens, Mislabeling","Wayne Farms LLC, Wayne Farms LLC","New Jersey, Massachusetts, New Jersey, Massachusetts","Thu, 03/31/2011 - Sat, 06/02/2012, Thu, 03/31/2011 - Sat, 06/02/2012"
026-2011,"Unreported Allergens, Mislabeling","NA, NA","NA, NA","Tue, 03/29/2011 - Sat, 06/02/2012, Tue, 03/29/2011 - Sat, 06/02/2012"
025-2011,Product Contamination,"Palmyra Bologna Company, Inc.","California, Colorado, Maryland, New York, Pennsylvania","Tue, 03/22/2011 - Sat, 06/02/2012"
024-2011,Mislabeling,"Northwest Premium Meats, LLC",Idaho,"Mon, 03/21/2011 - Sat, 06/02/2012"
023-2011,"Unreported Allergens, Mislabeling","NA, NA","NA, NA","Thu, 03/17/2011 - Sat, 06/02/2012, Thu, 03/17/2011 - Sat, 06/02/2012"
022-2011,Mislabeling,NA,"California, Georgia, Hawaii, Illinois, New Jersey, New York","Tue, 03/15/2011 - Sat, 06/02/2012"
021-2011,Product Contamination,Nestle Prepared Foods Company,"South Dakota, Minnesota, Wisconsin","Mon, 03/14/2011 - Sat, 06/02/2012"
019-2011,"Unreported Allergens, Mislabeling","NA, NA","NA, NA","Fri, 03/11/2011 - Sat, 06/02/2012, Fri, 03/11/2011 - Sat, 06/02/2012"
020-2011,"Unreported Allergens, Mislabeling","Monogram Meat Snacks, LLC, Monogram Meat Snacks, LLC","California, Colorado, Illinois, Missouri, Ohio, California, Colorado, Illinois, Missouri, Ohio","Fri, 03/11/2011 - Sat, 06/02/2012, Fri, 03/11/2011 - Sat, 06/02/2012"
018-2011,Product Contamination,Zweigle's Inc.,New York,"Wed, 03/09/2011 - Sat, 06/02/2012"
017-2011,Product Contamination,NA,Arizona,"Tue, 03/08/2011 - Sat, 06/02/2012"
016-2011,Product Contamination,Taylor Farm - Pacific,"Arizona, California, Colorado, Oregon, Washington","Tue, 03/01/2011 - Sat, 06/02/2012"
015-2011,"Unreported Allergens, Mislabeling","NA, NA","California, Colorado, Texas, Florida, California, Colorado, Texas, Florida","Mon, 02/28/2011 - Sat, 06/02/2012, Mon, 02/28/2011 - Sat, 06/02/2012"
013-2011,Mislabeling,J&J Distributing,Minnesota,"Fri, 02/25/2011 - Sat, 06/02/2012"
014-2011,Product Contamination,"NEW MARKET POULTRY, LLC",New York,"Fri, 02/25/2011 - Sat, 06/02/2012"
012-2011,Produced Without Benefit of Inspection,NA,NA,"Thu, 02/24/2011 - Sat, 06/02/2012"
011-2011,Misbranding,NA,"Arizona, California, Texas","Wed, 02/23/2011 - Sat, 06/02/2012"
010-2011,Unreported Allergens,Meridian Meat and Sausage,NA,"Wed, 02/16/2011 - Sat, 06/02/2012"
009-2011,"Unreported Allergens, Mislabeling","Simmons' Barbecue Inc, Simmons' Barbecue Inc","Alabama, Georgia, Tennessee, Mississippi, Alabama, Georgia, Tennessee, Mississippi","Wed, 02/09/2011 - Sat, 06/02/2012, Wed, 02/09/2011 - Sat, 06/02/2012"
008-2011,Product Contamination,NA,California,"Sat, 02/05/2011 - Fri, 06/01/2012"
007-2011,"Unreported Allergens, Mislabeling","Nina Mia, Inc., Nina Mia, Inc.","California, California","Fri, 01/28/2011 - Sat, 01/28/2012, Fri, 01/28/2011 - Sat, 01/28/2012"
006-2011,Product Contamination,NA,California,"Tue, 01/18/2011 - Fri, 06/01/2012"
003-2011-EXP,Product Contamination,NA,"Alabama, Florida, Georgia, Louisiana, Mississippi","Fri, 01/14/2011 - Fri, 06/01/2012"
005-2011,"Mislabeling, Product Contamination","NA, NA","Colorado, Colorado","Fri, 01/14/2011 - Fri, 06/01/2012, Fri, 01/14/2011 - Fri, 06/01/2012"
004-2011,Mislabeling,NA,"California, Colorado, Minnesota, Washington","Tue, 01/11/2011 - Fri, 06/01/2012"
003-2011,Product Contamination,NA,"California, Oregon","Mon, 01/10/2011 - Fri, 06/01/2012"
002-2011,"Misbranding, Unreported Allergens","NA, NA","California, Oregon, Washington, California, Oregon, Washington","Thu, 01/06/2011 - Fri, 06/01/2012, Thu, 01/06/2011 - Fri, 06/01/2012"
001-2011,Mislabeling,NA,"California, New York","Mon, 01/03/2011 - Fri, 06/01/2012"
069-2010,"Unreported Allergens, Mislabeling","NA, NA","NA, NA","Thu, 12/30/2010 - Mon, 06/04/2012, Thu, 12/30/2010 - Mon, 06/04/2012"
070-2010,Product Contamination,NA,California,"Thu, 12/30/2010 - Mon, 06/04/2012"
068-2010,"Unreported Allergens, Mislabeling","Bach Cuc Beef Jerky, Inc, Bach Cuc Beef Jerky, Inc","NA, NA","Wed, 12/29/2010 - Mon, 06/04/2012, Wed, 12/29/2010 - Mon, 06/04/2012"
067-2010,"Mislabeling, Product Contamination","NA, NA","New Mexico, New Mexico","Fri, 12/17/2010 - Mon, 06/04/2012, Fri, 12/17/2010 - Mon, 06/04/2012"
066-2010,"Unreported Allergens, Mislabeling","Pampanga Food Co., Pampanga Food Co.","California, Hawaii, California, Hawaii","Fri, 12/10/2010 - Mon, 06/04/2012, Fri, 12/10/2010 - Mon, 06/04/2012"
065-2010,"Unreported Allergens, Mislabeling","L&R Fine Food, Inc., L&R Fine Food, Inc.","California, California","Wed, 12/08/2010 - Mon, 06/04/2012, Wed, 12/08/2010 - Mon, 06/04/2012"
064-2010,Product Contamination,"The Suter Company, Inc.",NA,"Sun, 12/05/2010 - Mon, 06/04/2012"
063-2010,Unreported Allergens,Diana's Central Meat Market,California,"Fri, 12/03/2010 - Mon, 06/04/2012"
062-2010,Produced Without Benefit of Inspection,NA,New York,"Thu, 12/02/2010 - Mon, 06/04/2012"
061-2010,Product Contamination,Calabro Cheese Corporation,Connecticut,"Tue, 11/23/2010 - Mon, 06/04/2012"
060-2010,Product Contamination,NA,NA,"Sun, 11/14/2010 - Mon, 06/04/2012"
059-2010,Product Contamination,NA,California,"Fri, 11/05/2010 - Mon, 06/04/2012"
058-2010,Processing Defect,"Eickman's Processing Co., Inc.",Illinois,"Thu, 11/04/2010 - Mon, 06/04/2012"
057-2010,Product Contamination,NA,California,"Wed, 10/27/2010 - Mon, 06/04/2012"
056-2010,Product Contamination,"Klement's Sausage Company, Inc.",NA,"Fri, 10/22/2010 - Mon, 06/04/2012"
055-2010,Product Contamination,NA,North Carolina,"Wed, 10/20/2010 - Mon, 06/04/2012"
054-2010,Mislabeling,Windsor Foods,Texas,"Mon, 10/04/2010 - Mon, 06/04/2012"
053-2010,"Unreported Allergens, Mislabeling","Mekong Fresh Meats, Inc., Mekong Fresh Meats, Inc.","Alaska, Arkansas, California, Colorado, Georgia, Michigan, Minnesota, Missouri, North Carolina, Ohio, Oklahoma, Wisconsin, Alaska, Arkansas, California, Colorado, Georgia, Michigan, Minnesota, Missouri, North Carolina, Ohio, Oklahoma, Wisconsin","Fri, 09/24/2010 - Mon, 06/04/2012, Fri, 09/24/2010 - Mon, 06/04/2012"
052-2010,Import Violation,NA,NA,"Mon, 09/13/2010 - Mon, 06/04/2012"
051-2010,Produced Without Benefit of Inspection,NA,California,"Wed, 09/01/2010 - Mon, 06/04/2012"
050-2010,Product Contamination,Cargill Meat Solutions,Connecticut,"Sat, 08/28/2010 - Mon, 06/04/2012"
049-2010,Product Contamination,NA,NA,"Mon, 08/23/2010 - Mon, 06/04/2012"
048-2010,Product Contamination,NA,California,"Fri, 08/06/2010 - Mon, 06/04/2012"
047-2010,Unreported Allergens,NA,"Maryland, New Jersey, New York","Tue, 08/03/2010 - Mon, 06/04/2012"
046-2010,Product Contamination,NA,NA,"Mon, 07/19/2010 - Mon, 06/04/2012"
043-2010,Product Contamination,Rocky Mountain Natural Meats,NA,"Wed, 07/07/2010 - Mon, 06/04/2012"
045-2010,Product Contamination,NA,Pennsylvania,"Wed, 07/07/2010 - Mon, 06/04/2012"
044-2010,Unreported Allergens,NA,Illinois,"Tue, 07/06/2010 - Mon, 06/04/2012"
041-2010,Mislabeling,"OFD Foods, Inc.",NA,"Wed, 06/30/2010 - Mon, 06/04/2012"
042-2010,Unreported Allergens,NA,Texas,"Wed, 06/30/2010 - Current"
040-2010,Product Contamination,Great Kitchens Food Company,NA,"Fri, 06/25/2010 - Mon, 06/04/2012"
039-2010,Product Contamination,NA,NA,"Thu, 06/24/2010 - Thu, 06/24/2010"
037-2010,Product Contamination,"Crown I Enterprises, Inc.","Connecticut, New Jersey, New York","Tue, 06/22/2010 - Mon, 06/04/2012"
038-2010,Product Contamination,South Gate Meat Co.,California,"Tue, 06/22/2010 - Mon, 06/04/2012"
035-2010,Processing Defect,Campbell Soup Supply Company L.L.C.,NA,"Thu, 06/17/2010 - Mon, 06/04/2012"
036-2010,Product Contamination,NA,NA,"Thu, 06/17/2010 - Mon, 06/04/2012"
034-2010,Product Contamination,NA,California,"Sat, 05/15/2010 - Mon, 06/04/2012"
033-2010,Product Contamination,NA,NA,"Fri, 05/14/2010 - Mon, 06/04/2012"
032-2010,"Unreported Allergens, Mislabeling","Galant Food Company, Galant Food Company","California, California","Wed, 05/12/2010 - Mon, 06/04/2012, Wed, 05/12/2010 - Mon, 06/04/2012"
PHA-051010-01,Product Contamination,NA,NA,"Mon, 05/10/2010 - Current"
031-2010,Produced Without Benefit of Inspection,Vienna Beef Ltd.,"Illinois, Minnesota, Wisconsin","Fri, 05/07/2010 - Mon, 06/04/2012"
029-2010,Product Contamination,NA,Delaware,"Wed, 05/05/2010 - Sun, 06/03/2012"
030-2010,Product Contamination,Boston Salads and Provisions Company Inc.,"Maine, Massachusetts","Wed, 05/05/2010 - Sun, 06/03/2012"
028-2010,Product Contamination,NA,Illinois,"Tue, 05/04/2010 - Sun, 06/03/2012"
027-2010,Product Contamination,Custom Corned Beef LLC,Colorado,"Sat, 05/01/2010 - Sun, 06/03/2012"
026-2010,Unreported Allergens,NA,North Carolina,"Thu, 04/29/2010 - Sun, 06/03/2012"
025-2010,Product Contamination,Beltex Corporation,"Georgia, Louisiana, Ohio, Oklahoma, Texas, Washington, Wisconsin","Wed, 04/21/2010 - Sun, 06/03/2012"
024-2010,Unreported Allergens,West Lake Food Corporation,NA,"Sat, 04/17/2010 - Sun, 06/03/2012"
023-2010,Product Contamination,"North American Bison, LLC","Maryland, Colorado, Minnesota","Mon, 04/05/2010 - Sun, 06/03/2012"
022-2010,Product Contamination,Lorentz Etc. Inc.,Minnesota,"Sun, 04/04/2010 - Sun, 06/03/2012"
021-2010,Unreported Allergens,Perdue Foods LLC,"Florida, Illinois, Indiana, Kentucky, Maryland, Missouri, New Jersey, New York, Ohio, Pennsylvania, Virginia","Fri, 03/19/2010 - Sun, 06/03/2012"
PHA-031610-01,Product Contamination,NA,NA,"Tue, 03/16/2010 - Current"
020-2010,Produced Without Benefit of Inspection,"CAIE Foods Partnership, LTD",Nevada,"Sat, 03/13/2010 - Sun, 06/03/2012"
019-2010,Unreported Allergens,NA,"Alabama, Arkansas, California, Tennessee, Texas","Fri, 03/12/2010 - Sun, 06/03/2012"
018-2010,Produced Without Benefit of Inspection,NA,New York,"Thu, 03/11/2010 - Sun, 06/03/2012"
016-2010,Product Contamination,"Ruiz Food Products, Inc.",NA,"Tue, 03/09/2010 - Sun, 06/03/2012"
017-2010,Product Contamination,NA,NA,"Tue, 03/09/2010 - Sun, 06/03/2012"
014-2010,Mislabeling,Rudolph Foods Company Inc.,NA,"Mon, 03/08/2010 - Sun, 06/03/2012"
013-2010,Product Contamination,"Randolph Packing Co., Inc.","Illinois, Missouri, New York, Ohio, Virginia","Tue, 03/02/2010 - Sun, 06/03/2012"
006-2010-EXP2,Product Contamination,Daniele International,NA,"Tue, 02/16/2010 - Mon, 06/03/2013"
004-2010-EXP,Product Contamination,NA,California,"Fri, 02/12/2010 - Mon, 06/03/2013"
012-2010,"Unreported Allergens, Mislabeling","Daniel Western Meat Packers Inc., Daniel Western Meat Packers Inc.","California, Illinois, California, Illinois","Fri, 02/12/2010 - Sun, 06/03/2012, Fri, 02/12/2010 - Sun, 06/03/2012"
010-2010,"Misbranding, Unreported Allergens","Champ Meatball Company Inc., Champ Meatball Company Inc.","Arizona, California, Arizona, California","Wed, 02/10/2010 - Sun, 06/03/2012, Wed, 02/10/2010 - Sun, 06/03/2012"
011-2010,Product Contamination,Schmalz European Provision Inc.,"California, Connecticut, Florida, Georgia, Indiana, New Hampshire, New Jersey, New York, North Carolina, Ohio, Oregon, Texas","Wed, 02/10/2010 - Sun, 06/03/2012"
009-2010,Unreported Allergens,NA,North Carolina,"Fri, 02/05/2010 - Sun, 06/03/2012"
008-2010,Product Contamination,NA,Illinois,"Tue, 02/02/2010 - Sun, 06/03/2012"
